what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133185119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133187135
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133195260
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1559133198432
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133199525
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1559133204010
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133209697
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133210854
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1559133213479
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133214854
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1559133220994
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133222682
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1559133223760
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133225213
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133226900
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1559133228072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133252104
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133257541
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1559133273807
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133275588
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133280057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133289760
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133302736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133306612
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1559133324209
