what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560244678906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1560244678906
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1560244683703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560244687750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560244694125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560244696344
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560244697750
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1560244697969
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1560244698250
stopped,bundle,com.zylin.embeddedcdt,4.11.1,"com.zylin.embeddedcdt",1560244698250
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1560244698250
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200909110608,"org.eclipse.cdt.dsf.gdb.ui",1560244698250
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.1.200909110608,"org.eclipse.cdt.dsf.ui",1560244698250
